Trial_set,Trial,det,ID,appr
19,6,Control,Alpha 5,2
19,6,Control,Holepunch,1
20,1,Rpela,Holepunch,1
20,2,Mband,Alpha 5,2
20,3,Mband,Holepunch,1
20,3,Wax,Holepunch,3
20,4,Control,unknown,1
20,4,Control,Holepunch,1
20,5,Mleash,Alpha 5,6
20,6,SS,Holepunch,2
21,1,Mband,Alpha 5,1
21,1,Mband,Aquaman,4
21,1,Mband,Gill,3
21,2,Control,Alpha 5,5
21,2,Control,Aquaman,4
21,3,SS,unknown,1
21,3,SS,Alpha 5,12
21,3,SS,Aquaman,9
21,4,Wax,Aquaman,1
21,4,Wax,Shark Watch,1
21,5,Mleash,Shark Watch,4
21,6,Rpela,Alpha 5,1
21,6,Rpela,Shark Watch,2
22,1,Mleash,Shark Watch,3
22,2,Control,Aquaman,1
22,2,Control,Shark Watch,3
22,3,Wax,Shark Watch,1
22,4,Rpela,Shark Watch,2
22,5,Mband,Shark Watch,5
22,6,SS,Shark Watch,8
23,1,Mband,Shark Watch,1
23,3,Mleash,Shark Watch,1
23,4,SS,Shark Watch,3
23,5,Control,Shark Watch,10
23,6,Wax,Horseshoe,2
23,6,Wax,Shark Watch,3
24,1,Rpela,unknown,1
24,1,Rpela,Alpha 5,1
24,1,Rpela,Aquaman,1
24,1,Rpela,Shark Watch,13
24,2,Mband,Alpha 5,7
24,2,Mband,Shark Watch,6
24,3,SS,unknown,1
24,3,SS,Shark Watch,8
24,4,Control,Curl,1
24,5,Wax,Shark Watch,1
24,6,Mleash,Shark Watch,1
25,1,Control,Alpha 5,1
25,2,Wax,Alpha 5,2
25,3,Mleash,Alpha 5,2
25,3,Mleash,Shark Watch,1
25,4,SS,Shark Watch,7
25,5,Mband,Alpha 5,1
25,6,Rpela,Aquaman,1
25,6,Rpela,Shark Watch,12
26,1,Mband,Shark Watch,3
26,2,Mleash,Shark Watch,10
26,2,Mleash,unknown,7
26,3,SS,unknown,9
26,3,SS,Aquaman,1
26,3,SS,Shark Watch,19
26,4,Wax,unknown,1
26,4,Wax,Aquaman,5
26,4,Wax,Shark Watch,12
26,5,Rpela,unknown,3
26,5,Rpela,Alpha 5,12
26,5,Rpela,Aquaman,2
26,6,Control,Alpha 5,10
26,6,Control,Shark Watch,5
27,1,Wax,Shark Watch,6
27,2,Rpela,Shark Watch,1
27,2,Wax,Shark Watch,5
27,3,Mleash,Alpha 5,3
27,4,SS,unknown,5
27,4,SS,Alpha 5,12
27,4,SS,Holepunch,3
27,4,SS,Shark Watch,7
27,5,Mband,Shark Watch,5
27,6,Control,Holepunch,2
28,1,Mleash,unknown,1
28,1,Mleash,Alpha 5,1
28,1,Mleash,Holepunch,1
28,2,Control,Alpha 5,3
28,3,Rpela,unknown,2
28,4,SS,unknown,6
28,4,SS,Alpha 5,4
28,4,SS,Aquaman,2
28,4,SS,Holepunch,2
28,4,SS,Shark Watch,3
28,5,Wax,Alpha 5,2
28,6,Mband,unknown,1
28,6,Mband,Alpha 5,3
28,6,Mband,Curl,2
28,6,Mband,Shark Watch,4
29,1,Control,unknown,1
29,1,Control,Alpha 5,1
29,1,Control,Shark Watch,2
29,2,Wax,Alpha 5,1
29,3,Mband,unknown,3
29,3,Mband,Alpha 5,2
